# source_k6_atoms=51 rank_five_labeled=2012 distinct_triangle_count_vectors=1782
4,4,4,5,3,2,6,3,3,6,4,3,6,3,4,6,6,1,3,2,3,5,7,9,9,11,19,21,21,22,25,25,27,32,32,33,34,34,34,34,34,35,35,36,37,37,37,40,40,40,40,40,43,43,45,45
6,6,3,6,3,2,3,3,4,3,1,3,4,3,6,6,6,4,6,2,4,5,7,9,9,11,20,22,22,27,27,27,30,31,31,34,34,34,34,34,34,34,35,37,37,37,37,37,37,40,40,40,43,46,46,50
2,6,3,4,2,5,4,3,6,6,3,1,6,2,3,3,4,5,2,1,6,5,7,9,10,10,11,11,11,11,13,18,20,20,20,21,22,22,23,24,27,27,27,29,30,32,32,33,34,37,38,39,40,45,46,46
5,5,3,2,2,5,3,2,3,4,4,2,4,3,6,4,5,1,2,3,4,5,7,9,10,13,16,17,22,22,22,22,22,23,23,23,23,23,23,23,25,26,26,26,26,26,32,32,32,37,37,37,38,41,44,48
2,6,3,4,2,2,4,3,6,6,2,1,6,2,2,3,4,6,2,2,4,5,7,9,11,11,16,18,18,18,18,18,18,20,20,20,20,20,20,21,22,22,24,24,24,27,27,27,27,30,32,34,37,43,46,46
2,6,3,4,2,6,4,3,6,6,2,1,6,2,6,3,4,2,2,2,4,5,7,9,11,11,17,17,18,18,20,20,20,20,20,21,22,22,24,25,27,27,27,27,27,27,27,27,30,30,32,34,37,46,46,50
2,6,3,4,2,2,4,3,6,6,6,1,6,2,6,3,4,2,2,6,4,5,7,9,11,11,17,18,18,20,20,20,20,21,22,22,24,24,25,27,27,27,27,27,27,30,30,32,34,37,46,46,46,46,50,50
2,6,3,4,2,6,4,3,6,6,2,1,6,2,2,3,4,6,2,2,4,5,7,9,11,11,18,18,18,18,20,20,20,20,20,20,21,22,22,24,24,27,27,27,27,27,27,30,30,32,34,37,40,43,46,46
2,6,3,4,2,2,4,3,6,6,6,1,6,2,2,3,4,6,2,6,4,5,7,9,11,11,18,18,18,20,20,20,20,20,21,22,22,24,27,27,27,27,27,27,30,30,32,34,37,40,40,43,46,46,46,50
2,6,3,4,2,6,4,3,6,6,6,1,6,2,6,3,4,2,2,6,4,5,7,9,11,11,18,20,20,20,21,22,22,24,24,24,25,27,27,27,27,27,27,30,30,32,34,37,46,46,46,46,46,50,50,50
6,6,4,6,2,1,6,2,4,2,4,2,4,4,2,6,6,3,4,3,4,5,7,9,11,14,17,20,20,20,22,22,25,25,25,27,27,27,27,27,27,27,27,27,27,34,35,35,37,41,43,46,46,46,46,50
6,6,4,6,2,3,6,2,4,2,4,2,4,4,6,6,6,1,4,3,4,5,7,9,11,14,20,20,20,22,25,25,27,27,27,27,27,27,27,27,27,34,35,35,37,37,40,41,43,43,46,46,46,46,46,50
6,6,4,6,2,2,6,2,4,2,4,2,4,4,1,6,6,4,4,4,3,5,7,9,12,14,17,20,20,20,22,25,25,25,27,27,27,27,27,27,27,27,27,27,27,35,37,41,41,43,43,46,46,46,46,50
6,6,4,6,2,6,6,2,4,2,4,2,4,4,3,6,6,4,4,4,1,5,7,9,12,14,20,20,20,22,25,25,27,27,27,27,27,27,27,27,27,35,37,40,41,41,43,43,43,46,46,46,46,46,46,50
6,6,4,6,2,6,6,2,4,2,4,2,4,4,3,6,6,4,4,6,1,5,7,9,14,14,20,20,20,22,25,25,27,27,27,27,27,27,27,27,27,37,37,40,41,43,43,43,46,46,46,46,46,46,50,50
5,3,2,3,6,5,3,2,6,3,2,2,6,6,4,2,2,4,3,1,6,5,7,10,11,14,17,17,17,17,17,18,19,20,20,20,20,22,24,25,26,27,28,33,34,34,34,34,36,39,39,40,40,40,46,49
5,3,2,3,6,6,3,2,6,3,6,2,6,6,1,2,2,4,3,2,4,5,7,11,11,14,17,17,17,17,17,18,19,20,20,20,20,22,24,25,27,27,30,33,34,34,34,34,37,39,39,40,40,40,46,49
5,2,3,2,2,6,3,2,5,6,6,2,3,6,1,5,2,4,6,6,4,5,7,11,11,14,17,17,17,17,20,20,20,20,23,23,23,23,25,27,27,28,28,29,29,30,33,37,40,40,45,46,46,49,49,49
6,4,4,6,6,4,6,2,6,6,6,2,6,4,4,4,6,1,6,4,3,5,7,11,12,12,20,25,27,27,27,27,30,35,37,37,40,41,43,43,43,43,46,46,46,46,46,46,46,46,46,50,50,50,50,50
4,4,2,4,4,4,4,2,6,2,5,2,6,6,1,2,4,4,2,2,3,5,7,11,12,13,17,18,18,18,18,18,18,18,20,20,20,23,25,25,25,25,25,26,27,27,29,30,35,35,41,42,43,43,43,46
6,4,4,6,6,6,6,2,6,6,6,2,6,4,4,4,6,1,6,4,3,5,7,11,12,14,20,25,27,27,27,27,30,35,37,40,40,43,43,43,43,46,46,46,46,46,46,46,46,46,50,50,50,50,50,50
5,5,4,6,5,4,6,2,5,3,1,2,5,6,2,4,2,4,5,4,6,5,7,11,13,13,17,18,20,20,26,26,26,26,26,26,26,26,27,30,38,38,40,41,41,43,43,45,45,48,48,48,48,48,48,48
4,4,2,4,4,6,4,2,6,2,5,2,6,6,1,2,4,4,2,2,3,5,7,11,13,14,17,18,18,18,18,18,18,18,20,20,20,23,25,25,25,26,27,27,27,27,29,30,35,37,41,43,43,43,45,46
6,4,4,6,6,4,6,2,6,6,4,2,6,4,3,4,6,2,6,1,2,5,7,11,14,14,17,18,20,20,22,25,25,27,27,27,27,27,27,30,35,37,43,43,43,46,46,46,46,46,46,50,50,50,50,50
4,4,2,4,4,1,4,2,6,2,2,2,6,6,4,2,4,6,2,4,4,5,7,12,12,12,18,18,18,18,18,18,18,20,20,20,20,25,25,25,25,25,27,27,27,27,27,30,41,43,43,43,43,43,43,46
6,6,4,4,2,4,6,2,2,2,6,2,4,4,4,6,2,4,4,1,2,5,7,12,12,14,16,18,18,18,18,18,20,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,41,41,43,43,43,46,46,50
6,6,4,4,2,4,6,2,2,2,4,2,4,4,4,6,2,2,4,1,6,5,7,12,12,14,16,18,18,18,18,18,20,20,20,20,25,25,27,27,27,27,27,27,27,27,27,27,41,43,43,43,43,43,43,50
6,6,4,4,2,1,6,2,2,2,4,2,4,4,2,6,2,4,4,4,4,5,7,12,12,14,16,18,18,18,18,20,20,20,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,41,41,43,43,43,50
6,6,4,6,2,4,6,2,4,2,4,2,4,4,4,6,6,2,4,1,2,5,7,12,12,14,18,18,18,18,20,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,41,43,43,43,43,46,46,46,46,50
6,6,4,6,2,2,6,2,4,2,4,2,4,4,2,6,6,4,4,1,4,5,7,12,12,14,18,18,20,20,20,20,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,41,43,43,46,46,46,46,50
6,6,4,4,2,1,6,2,2,2,4,2,4,4,4,6,2,2,4,4,6,5,7,12,14,14,16,18,18,18,18,18,20,20,20,20,25,25,27,27,27,27,27,27,27,27,27,27,41,41,43,43,43,43,43,50
6,6,4,4,2,6,6,2,2,2,6,2,4,4,4,6,2,4,4,1,2,5,7,12,14,14,16,18,18,18,18,20,20,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,41,43,43,43,46,46,50,50
6,6,4,6,2,4,6,2,4,2,6,2,4,4,4,6,6,2,4,1,2,5,7,12,14,14,18,18,20,20,20,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,41,43,43,46,46,46,46,46,46,50
6,6,4,6,2,2,6,2,4,2,2,2,4,4,4,6,6,4,4,1,6,5,7,12,14,14,18,20,20,20,20,20,20,25,25,25,27,27,27,27,27,27,27,27,27,27,27,41,43,43,46,46,46,46,46,50
6,4,4,6,6,1,6,2,6,6,4,2,6,4,6,4,6,2,6,4,2,5,7,14,14,14,18,20,20,20,25,25,27,27,27,27,27,27,27,30,43,43,43,46,46,46,46,46,46,46,46,50,50,50,50,50
3,5,4,6,3,4,6,3,3,1,3,1,4,3,2,6,3,4,3,3,5,5,8,8,8,8,10,11,11,13,14,22,23,24,26,31,32,32,32,32,32,33,33,34,34,34,34,36,36,37,37,37,39,41,45,46
4,4,4,5,3,1,6,3,3,6,2,3,6,3,3,6,6,3,3,3,3,5,8,9,9,10,21,21,24,24,31,31,31,32,33,34,34,34,34,34,34,34,34,35,35,36,37,37,40,40,40,40,40,43,45,45
2,6,3,4,2,5,4,3,6,6,5,1,6,2,3,3,4,3,2,3,6,5,8,9,11,11,18,20,20,20,21,22,22,24,24,27,27,27,28,29,30,31,32,33,33,34,34,36,36,37,37,39,39,46,46,49
2,6,3,4,2,2,4,3,6,6,4,1,6,2,4,3,4,3,2,2,6,5,9,9,11,11,18,18,18,20,20,20,20,20,21,21,21,22,22,27,27,27,27,27,27,27,30,32,32,34,37,37,41,46,46,46
2,6,3,4,2,6,4,3,6,6,4,1,6,2,4,3,4,3,2,2,6,5,9,9,11,11,18,20,20,20,20,21,21,22,22,27,27,27,27,27,27,27,27,30,30,32,32,34,34,37,37,41,46,46,46,46
2,6,3,4,2,5,4,3,6,6,5,1,6,2,3,3,4,4,2,5,4,5,9,9,11,11,18,20,20,20,21,22,22,22,26,26,27,27,27,28,30,32,34,36,36,36,36,37,39,39,41,44,45,46,46,48
2,4,3,3,4,4,4,3,3,4,4,1,6,3,2,4,6,4,6,2,2,5,9,9,11,14,17,20,20,21,21,22,22,25,25,25,25,25,25,25,25,27,32,32,35,35,35,35,37,37,37,37,37,37,40,46
2,4,3,3,4,6,4,3,3,4,6,1,6,3,4,4,6,2,6,2,4,5,9,9,11,14,18,21,21,24,24,24,24,25,25,27,27,27,30,32,32,35,35,35,37,37,37,37,37,37,40,43,43,43,43,46
2,4,3,3,4,5,4,3,3,4,5,1,6,3,4,4,6,2,6,4,4,5,9,9,11,14,21,21,23,23,25,25,25,27,28,32,32,35,35,35,36,36,37,37,37,37,37,37,40,42,42,42,42,43,43,46
2,6,3,4,2,3,4,3,6,6,3,1,6,2,3,3,4,5,2,5,2,5,9,10,11,11,17,17,18,19,20,20,20,21,21,22,22,24,26,27,27,27,30,32,32,33,33,34,34,36,37,38,39,39,46,46
2,6,3,4,2,3,4,3,6,6,3,1,6,2,5,3,4,3,2,5,2,5,9,10,11,11,17,18,19,19,20,20,20,21,21,22,22,22,24,27,27,27,30,31,31,32,33,34,36,36,37,39,39,46,46,48
2,6,3,4,2,5,4,3,6,6,3,1,6,2,3,3,4,5,2,5,2,5,9,10,11,11,17,18,19,19,20,20,20,21,22,22,23,24,26,27,27,27,30,32,32,33,34,37,38,38,39,39,39,44,46,46
2,6,3,4,2,3,4,3,6,6,5,1,6,2,5,3,4,3,2,3,6,5,9,10,11,11,18,20,20,20,21,22,22,23,24,24,27,27,27,29,30,31,31,32,32,33,34,37,37,39,39,39,44,46,46,49
2,6,3,4,2,5,4,3,6,6,5,1,6,2,3,3,4,5,2,3,6,5,9,10,11,11,18,20,20,20,21,22,22,24,24,27,27,27,28,29,30,32,33,34,34,36,36,37,38,38,39,39,45,46,46,49
2,6,3,4,2,5,4,3,6,6,5,1,6,2,5,3,4,3,2,3,6,5,9,10,11,11,18,20,20,20,21,22,22,24,27,27,27,28,29,29,30,31,32,33,33,34,36,37,37,39,39,44,46,46,48,49
4,4,4,5,3,1,6,3,3,6,3,3,6,3,2,6,6,6,3,3,6,5,9,10,11,14,24,24,24,24,31,32,33,34,34,34,34,34,34,34,35,35,36,37,37,40,40,40,40,40,40,40,43,45,45,50
2,6,3,4,2,4,4,3,6,6,2,1,6,2,6,3,4,3,2,4,2,5,9,11,11,11,18,18,18,18,20,20,20,20,20,21,21,22,22,22,27,27,27,27,27,30,32,32,32,34,37,41,46,46,46,46
2,6,3,4,2,5,4,3,6,6,5,1,6,2,3,3,4,6,2,5,4,5,9,11,11,11,18,20,20,20,21,22,22,22,26,26,27,27,27,28,30,32,34,36,37,39,39,39,39,39,43,44,45,46,46,48
2,6,3,4,2,2,4,3,6,6,4,1,6,2,4,3,4,5,2,6,2,5,9,11,11,13,16,18,18,18,20,20,20,20,21,22,22,23,26,27,27,27,27,27,27,30,32,34,36,37,39,41,46,46,46,46
2,6,3,4,2,6,4,3,6,6,4,1,6,2,4,3,4,5,2,6,2,5,9,11,11,13,18,18,20,20,20,20,20,21,22,22,26,27,27,27,27,27,30,32,34,36,37,39,39,41,46,46,46,46,46,46
2,6,3,4,2,3,4,3,6,6,3,1,6,2,5,3,4,4,2,3,4,5,9,11,11,13,18,20,20,20,21,21,22,22,22,22,26,27,27,27,30,32,32,32,32,32,34,34,36,37,37,39,39,41,46,46
2,6,3,4,2,4,4,3,6,6,4,1,6,2,4,3,4,6,2,4,4,5,9,11,11,14,18,20,20,20,21,22,22,25,25,25,25,27,27,27,30,32,34,37,37,37,37,41,41,43,43,43,43,43,46,46
2,6,3,4,2,3,4,3,6,6,3,1,6,2,5,3,4,5,2,5,2,5,9,11,11,15,17,18,19,19,20,20,20,21,21,22,22,24,26,27,27,27,30,32,33,33,34,36,36,37,38,39,39,46,46,48
5,5,4,6,5,3,6,2,5,3,4,2,5,6,3,4,2,2,5,1,4,5,10,11,13,13,17,17,18,18,20,20,22,26,26,26,26,26,26,33,35,36,36,37,37,38,38,40,43,48,48,48,48,48,48,48
5,3,2,3,6,4,3,2,6,3,1,2,6,6,6,2,2,4,3,4,5,5,10,11,13,14,17,17,17,17,17,19,20,20,20,20,25,25,26,27,33,34,34,34,34,35,36,37,39,39,40,40,40,45,46,49
5,2,3,2,2,3,3,2,5,6,1,2,3,6,6,5,2,4,6,4,4,5,10,11,13,14,17,17,17,17,20,20,20,20,22,22,23,23,23,23,24,25,27,28,28,29,29,32,33,37,40,40,42,43,46,49
5,5,5,5,2,1,5,5,6,2,3,2,5,2,4,5,2,4,2,5,4,5,10,13,13,15,16,19,19,19,19,19,19,19,19,20,22,25,25,25,26,28,28,28,36,36,39,44,44,47,47,47,47,48,48,48
6,6,4,4,2,3,6,2,2,2,3,2,4,4,1,6,2,4,4,4,5,5,11,11,12,13,16,18,18,18,20,20,20,22,22,23,23,25,26,27,27,27,27,27,27,27,27,34,35,35,41,42,43,43,43,50
6,4,4,6,6,4,6,2,6,6,4,2,6,4,1,4,6,4,6,3,4,5,11,12,12,14,20,25,25,27,27,27,27,30,35,37,37,37,41,43,43,43,43,43,43,46,46,46,46,46,46,50,50,50,50,50
6,4,4,6,6,6,6,2,6,6,4,2,6,4,1,4,6,4,6,3,4,5,11,12,14,14,20,25,25,27,27,27,27,30,35,37,37,40,43,43,43,43,43,46,46,46,46,46,46,46,46,50,50,50,50,50
4,4,2,4,4,1,4,2,6,2,6,2,6,6,4,2,4,4,2,4,4,5,12,12,12,14,18,18,18,18,18,18,20,20,20,25,25,25,25,25,25,27,27,27,27,30,41,41,43,43,43,43,43,43,46,46
4,4,2,4,4,1,4,2,6,2,4,2,6,6,6,2,4,4,2,6,4,5,12,12,14,14,18,18,18,18,18,18,20,20,20,25,25,25,25,25,27,27,27,27,27,30,41,41,43,43,43,43,46,46,46,50
4,4,2,4,4,1,4,2,6,2,4,2,6,6,6,2,4,4,2,4,6,5,12,12,14,14,18,18,18,18,18,18,20,20,20,25,25,25,25,25,27,27,27,27,27,30,41,43,43,43,43,43,43,46,46,50
5,5,5,5,2,2,5,5,6,2,1,2,5,2,5,5,2,2,2,2,5,6,6,6,7,15,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,28,28,28,28,28,28,47,47,47,47,48,48,48
4,6,3,6,3,1,5,3,5,3,4,1,3,6,2,6,3,5,1,2,5,6,6,7,7,10,10,10,10,11,11,11,11,11,11,12,17,26,26,29,29,31,31,32,32,36,36,38,38,39,39,40,40,40,45,45
5,6,6,5,2,4,6,5,5,5,2,4,6,6,2,6,2,2,5,1,2,6,6,7,7,13,16,18,18,19,19,20,20,20,26,27,27,27,28,28,28,29,30,45,46,46,47,47,48,48,49,49,49,49,49,49
5,6,6,5,2,1,6,5,5,5,2,4,6,6,2,6,2,2,5,4,5,6,6,7,7,13,18,19,19,20,20,26,27,27,27,28,28,28,28,29,29,30,44,45,46,46,47,47,48,48,49,49,49,49,49,49
5,6,6,5,2,5,6,5,5,5,4,4,6,6,2,6,2,6,5,2,1,6,6,7,7,13,20,20,26,27,27,27,28,28,28,28,29,29,30,30,44,45,45,46,46,47,47,48,48,49,49,49,49,49,49,49
6,6,4,4,2,2,6,2,2,2,1,2,4,4,4,6,2,5,4,5,6,6,6,7,7,14,16,18,18,18,20,20,20,20,25,26,26,26,27,27,27,27,27,27,27,27,27,29,41,42,43,43,43,45,48,50
6,4,6,6,2,4,5,4,4,6,2,3,6,5,1,6,2,4,2,2,2,6,6,7,9,12,16,18,18,18,20,20,20,20,23,25,26,27,27,27,27,27,29,30,36,37,40,43,43,45,45,46,46,46,48,50
5,6,6,5,2,2,6,5,5,5,1,4,6,6,2,6,2,3,5,2,4,6,6,7,10,13,18,19,20,20,20,22,22,24,24,26,27,27,28,28,28,29,30,45,46,46,47,47,48,48,49,49,49,49,49,49
6,6,4,4,2,5,6,2,2,2,5,2,4,4,5,6,2,6,4,4,1,6,6,7,12,13,16,18,18,18,20,20,20,25,26,27,27,27,27,27,27,27,27,29,29,41,42,42,43,43,45,46,48,48,48,50
6,6,4,4,2,5,6,2,2,2,5,2,4,4,5,6,2,6,4,6,1,6,6,7,13,14,16,18,18,18,20,20,20,25,27,27,27,27,27,27,27,27,29,29,29,41,43,43,45,45,45,48,48,48,50,50
5,6,6,5,2,4,6,5,5,5,2,4,6,6,2,6,2,4,5,1,2,6,6,7,13,14,18,18,19,20,20,20,25,26,26,27,27,28,28,28,29,30,43,45,46,46,47,47,48,48,49,49,49,49,49,49
5,6,6,5,2,1,6,5,5,5,2,4,6,6,2,6,2,4,5,4,5,6,6,7,13,14,20,20,25,26,26,26,27,27,28,28,28,28,29,29,30,43,44,45,46,46,47,47,48,48,49,49,49,49,49,49
6,6,4,4,2,4,6,2,2,2,1,2,4,4,4,6,2,5,4,5,6,6,6,7,14,14,16,18,18,18,20,20,20,25,26,27,27,27,27,27,27,27,27,27,29,41,42,42,42,43,43,43,43,45,48,50
5,5,5,5,2,5,5,5,6,2,1,2,5,2,5,5,2,2,2,2,5,6,6,7,15,15,16,19,19,19,19,19,19,19,19,19,19,19,19,20,28,28,28,28,28,28,28,28,47,47,47,47,47,48,48,48
3,5,4,6,3,1,6,3,3,1,3,1,4,3,2,6,3,5,3,4,6,6,6,8,8,8,8,8,11,11,11,11,13,13,14,14,24,24,25,32,32,32,32,33,33,34,34,34,34,37,37,39,39,45,45,46
3,5,4,6,3,1,6,3,3,1,5,1,4,3,2,6,3,5,3,3,4,6,6,8,8,8,8,9,10,11,11,11,13,13,13,14,22,22,29,32,32,32,32,33,33,34,34,34,34,36,37,38,39,39,45,46
3,3,3,5,2,6,6,2,3,3,3,2,3,5,1,3,3,5,5,3,2,6,6,8,11,11,20,20,21,21,21,21,21,21,21,21,23,23,23,23,23,28,31,33,33,33,33,33,33,34,34,34,38,39,39,39
3,3,3,5,2,5,6,2,3,3,4,2,3,5,2,3,3,6,5,5,1,6,6,9,11,15,20,20,21,21,21,21,21,21,21,23,23,23,23,27,27,28,33,33,33,33,33,34,34,36,36,38,39,39,39,47
4,6,3,6,3,6,5,3,5,3,4,1,3,6,5,6,3,2,1,5,2,6,6,10,10,11,11,11,11,11,11,17,22,22,24,24,29,29,31,31,32,32,38,38,39,39,40,40,40,43,44,44,45,45,49,49
6,3,3,5,5,1,6,2,5,6,2,1,4,4,6,3,3,3,6,3,2,6,7,7,8,8,9,9,10,11,11,17,20,21,23,23,24,24,24,27,30,31,33,33,34,36,36,37,40,43,45,46,48,48,49,49
6,6,4,4,2,6,6,2,2,2,6,2,4,4,3,6,2,5,4,4,1,6,7,7,9,12,16,18,18,18,20,20,20,23,25,27,27,27,27,27,27,27,27,27,29,35,40,40,41,43,43,43,45,45,50,50
6,6,3,3,3,2,3,3,3,6,4,2,4,2,1,6,2,6,2,6,5,6,7,7,9,14,16,18,20,21,21,21,23,24,24,24,24,24,24,24,27,27,29,29,32,34,34,34,34,37,37,37,40,40,45,50
6,4,4,6,6,2,6,2,6,6,1,2,6,4,3,4,6,5,6,4,2,6,7,7,11,14,20,20,22,22,23,25,26,27,27,27,27,27,27,29,30,37,42,43,43,46,46,46,46,46,46,50,50,50,50,50
5,5,3,5,5,5,5,3,6,5,2,3,6,5,2,6,3,3,5,1,2,6,7,7,11,15,19,19,19,21,21,21,28,28,28,33,33,33,33,33,33,33,39,39,40,40,47,47,47,47,47,48,48,48,48,49
4,4,2,4,4,4,4,2,6,2,4,2,6,6,2,2,4,6,2,1,5,6,7,7,12,14,18,18,18,18,18,18,20,20,20,20,25,25,25,25,25,26,27,27,27,27,29,30,41,41,42,43,43,43,45,46
3,5,4,6,3,6,6,3,3,1,2,1,4,3,5,6,3,2,3,3,6,6,7,8,8,8,8,11,11,13,14,17,21,24,24,24,27,29,32,32,32,33,34,34,34,34,34,36,37,39,39,40,40,45,46,48
6,3,3,5,5,3,6,2,5,6,2,1,4,4,5,3,3,2,6,4,3,6,7,8,9,9,16,21,21,22,23,24,24,24,24,26,29,33,33,33,33,34,36,36,36,36,37,40,42,43,45,46,48,48,49,49
6,3,3,5,5,5,6,2,5,6,5,1,4,4,5,3,3,2,6,2,5,6,7,8,9,9,17,19,23,23,23,24,24,26,28,28,29,33,33,34,36,36,38,40,43,44,45,46,47,48,48,48,48,48,49,49
6,3,3,5,5,3,6,2,5,6,2,1,4,4,2,3,3,5,6,5,6,6,7,8,9,9,19,20,21,23,24,24,24,26,27,28,30,33,33,33,34,36,36,38,38,39,39,40,43,45,46,48,48,49,49,49
5,5,3,2,2,5,3,2,3,4,4,2,4,3,3,4,5,4,2,1,6,6,7,9,9,12,16,17,22,22,22,22,22,23,23,23,23,23,23,25,25,26,26,26,26,29,32,32,32,34,36,38,38,43,44,45
4,4,2,4,4,4,4,2,6,2,3,2,6,6,1,2,4,5,2,3,2,6,7,9,11,12,17,17,18,18,18,18,18,18,20,20,20,23,23,25,25,25,25,26,26,27,27,30,34,35,35,41,43,43,43,46
4,4,2,4,4,6,4,2,6,2,3,2,6,6,1,2,4,5,2,3,2,6,7,9,11,14,17,17,18,18,18,18,18,18,20,20,20,23,23,25,25,25,26,27,27,27,29,30,34,37,37,41,43,43,43,46
6,6,4,4,2,2,6,2,2,2,4,2,4,4,1,6,2,5,4,4,3,6,7,9,12,14,16,17,18,18,18,20,20,20,22,23,25,25,25,26,26,27,27,27,27,27,27,27,27,27,35,41,43,43,45,50
5,2,3,2,2,4,3,2,5,6,1,2,3,6,4,5,2,5,6,4,2,6,7,9,13,13,17,17,17,17,18,19,20,20,20,20,23,23,23,23,25,25,26,27,27,28,28,29,29,33,35,36,40,40,44,49
6,6,5,5,5,4,6,5,6,5,3,2,5,6,5,6,3,1,6,2,6,6,7,10,11,13,24,24,26,28,29,29,29,30,37,38,38,39,39,40,45,45,48,48,48,48,48,49,49,49,49,49,49,49,49,50
6,6,5,5,5,4,6,5,6,5,2,2,5,6,6,6,3,1,6,3,5,6,7,10,11,13,24,24,27,28,29,29,29,30,36,38,38,39,39,40,44,46,48,48,48,48,48,49,49,49,49,49,49,49,49,50
5,5,3,2,2,1,3,2,3,4,4,2,4,3,4,4,5,5,2,5,6,6,7,10,13,13,16,17,22,22,22,22,23,23,23,23,23,23,25,26,26,26,26,26,26,29,32,32,35,36,37,38,42,43,44,48
6,6,5,5,5,2,6,5,6,5,4,2,5,6,6,6,3,1,6,4,5,6,7,10,13,14,24,26,27,28,29,29,29,30,38,38,40,43,44,45,45,46,48,48,48,48,48,49,49,49,49,49,49,49,49,50
6,4,6,6,2,2,5,4,4,6,1,3,6,5,2,6,2,5,2,4,3,6,7,11,12,13,17,18,20,20,20,22,23,23,23,23,26,27,27,27,27,29,29,30,36,37,40,43,45,45,45,46,46,46,48,50
6,4,6,6,2,1,5,4,4,6,2,3,6,5,4,6,2,3,2,4,5,6,7,11,12,14,20,20,20,22,23,23,25,26,26,26,27,27,29,29,30,32,36,37,37,40,43,43,44,45,45,46,46,46,48,50
6,4,6,6,2,1,5,4,4,6,2,3,6,5,6,6,2,3,2,4,5,6,7,11,14,14,20,20,20,22,23,23,25,26,26,27,27,29,29,29,30,34,36,37,37,40,43,45,45,46,46,46,46,48,48,50
6,4,4,6,6,4,6,2,6,6,1,2,6,4,3,4,6,5,6,4,2,6,7,11,14,14,20,22,23,25,27,27,27,27,27,27,29,30,35,37,42,42,43,43,43,46,46,46,46,46,46,50,50,50,50,50
4,4,2,4,4,4,4,2,6,2,1,2,6,6,5,2,4,6,2,4,5,6,7,12,13,14,18,18,18,18,18,18,20,20,20,25,25,25,26,27,27,27,27,29,30,41,41,42,42,43,43,43,45,45,46,48
5,6,6,5,2,2,6,5,5,5,1,4,6,6,2,6,2,4,5,5,4,6,7,13,13,15,18,20,20,25,25,27,27,27,28,28,28,28,29,29,30,44,45,45,46,46,47,47,48,48,49,49,49,49,49,49
5,6,6,5,2,4,6,5,5,5,5,4,6,6,2,6,2,4,5,1,2,6,7,13,14,15,18,18,20,20,25,27,27,28,28,28,28,29,29,30,43,44,44,45,46,46,47,47,48,48,49,49,49,49,49,49
5,6,6,5,2,1,6,5,5,5,5,4,6,6,2,6,2,4,5,4,5,6,7,13,14,15,20,25,26,27,27,28,28,28,29,29,29,30,43,44,44,44,45,46,46,47,47,47,48,48,49,49,49,49,49,49
4,5,3,1,4,3,3,3,4,1,5,1,5,3,3,3,6,4,4,3,2,6,8,8,8,8,9,10,10,11,11,12,12,12,12,15,21,22,22,27,32,32,32,32,33,33,33,36,36,36,36,36,36,36,37,37
3,5,4,6,3,5,6,3,3,1,4,1,4,3,2,6,3,5,3,3,3,6,8,8,8,8,9,11,11,13,14,21,22,27,28,31,32,32,32,32,33,33,33,34,34,34,34,36,36,37,39,39,39,44,45,46
3,5,4,6,3,6,6,3,3,1,4,1,4,3,5,6,3,2,3,2,4,6,8,8,8,8,11,11,12,13,14,20,22,22,22,22,26,27,30,32,32,32,33,34,34,34,34,36,37,37,37,39,45,45,46,48
4,5,3,1,4,4,3,3,4,1,3,1,5,3,5,3,6,2,4,4,4,6,8,8,8,9,10,10,11,11,12,12,12,12,12,15,21,22,22,27,32,32,33,35,35,36,36,36,36,36,37,37,41,41,44,44
3,3,3,5,2,6,6,2,3,3,1,2,3,5,3,3,3,5,5,3,4,6,8,9,11,11,20,21,21,21,21,21,21,21,23,23,23,27,28,31,33,33,33,33,33,33,34,34,34,36,36,36,38,39,39,39
3,3,3,5,2,3,6,2,3,3,3,2,3,5,1,3,3,5,5,6,5,6,8,11,11,15,20,21,21,21,21,21,21,21,23,23,23,23,28,31,33,33,33,33,33,33,33,34,34,34,38,38,39,39,39,48
5,5,3,5,5,4,5,3,6,5,2,3,6,5,5,6,3,4,5,3,1,6,9,10,13,15,22,24,26,28,33,33,33,33,33,33,35,36,36,37,39,39,39,40,40,44,47,47,47,47,47,48,48,48,48,49
6,4,6,6,2,4,5,4,4,6,5,3,6,5,4,6,2,1,2,3,5,6,9,11,13,14,20,20,20,23,23,26,26,27,27,29,30,36,36,37,37,37,40,41,43,44,44,45,45,45,46,46,46,48,48,50
6,6,4,4,2,4,6,2,2,2,4,2,4,4,1,6,2,5,4,4,3,6,9,12,14,14,16,18,18,18,20,20,20,22,22,23,25,25,26,27,27,27,27,27,27,27,27,35,41,41,42,43,43,43,45,50
6,4,6,6,2,3,5,4,4,6,4,3,6,5,5,6,2,1,2,4,5,6,10,11,12,14,20,20,20,23,23,26,26,27,27,29,30,36,36,37,37,37,40,41,43,44,45,45,45,45,46,46,46,47,48,50
